key,value,primary,name
gray,"#737373",1,gray
red,"#F15A60",1,red
green,"#7AC36A",1,green
blue,"#5A9BD4",1,blue
orange,"#FBB879",1,orange
oldorange,"#FAA75B",1,oldorange
purple,"#9E67AB",1,purple
maroon,"#470407",1,maroon
oldmaroon,"#CE7058",1,oldmaroon
magenta,"#D77FB4",1,magenta
exact,blue,0,Exact
neighbor,green,0,Neighbor
distant,red,0,Distant
motif,blue,0,Motif
partialmotif,green,0,"Partial Motif"
nomotif,red,0,"No Motif"
bHLH,orange,0,bHLH
ETS,purple,0,ETS
homeodomain,maroon,0,homeodomain
combined,green,0,combined
experiment,maroon,0,Experiment
control,orange,0,Control
good,green,0,good
bad,red,0,bad
